bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
194555,365414,text,1193848,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/365414,https://www.congress.gov/111/bills/hr1/BILLS-111hr1ih.pdf
194555,365416,text,1247738,application/pdf,Amended,https://legiscan.com/US/text/HB1/id/365416,https://www.congress.gov/111/bills/hr1/BILLS-111hr1eas.pdf
194555,2385968,text,1327058,application/pdf,Amended,https://legiscan.com/US/text/HB1/id/2385968,https://www.congress.gov/111/bills/hr1/BILLS-111hr1as.pdf
194555,365415,text,1180199,application/pdf,Engrossed,https://legiscan.com/US/text/HB1/id/365415,https://www.congress.gov/111/bills/hr1/BILLS-111hr1eh.pdf
194555,365417,text,1094182,application/pdf,Enrolled,https://legiscan.com/US/text/HB1/id/365417,https://www.congress.gov/111/bills/hr1/BILLS-111hr1enr.pdf
194556,365424,text,590643,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/365424,https://www.congress.gov/111/bills/hr2/BILLS-111hr2ih.pdf
194556,365425,text,581055,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/365425,https://www.congress.gov/111/bills/hr2/BILLS-111hr2pcs.pdf
194556,365426,text,538128,application/pdf,Amended,https://legiscan.com/US/text/HB2/id/365426,https://www.congress.gov/111/bills/hr2/BILLS-111hr2eas.pdf
194556,365423,text,559599,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/365423,https://www.congress.gov/111/bills/hr2/BILLS-111hr2eh.pdf
194556,365427,text,380463,application/pdf,Enrolled,https://legiscan.com/US/text/HB2/id/365427,https://www.congress.gov/111/bills/hr2/BILLS-111hr2enr.pdf
194557,365437,text,137498,application/pdf,Introduced,https://legiscan.com/US/text/HB11/id/365437,https://www.congress.gov/111/bills/hr11/BILLS-111hr11ih.pdf
194557,365438,text,160573,application/pdf,Engrossed,https://legiscan.com/US/text/HB11/id/365438,https://www.congress.gov/111/bills/hr11/BILLS-111hr11eh.pdf
194558,365449,text,159975,application/pdf,Introduced,https://legiscan.com/US/text/HB12/id/365449,https://www.congress.gov/111/bills/hr12/BILLS-111hr12ih.pdf
194559,365457,text,128299,application/pdf,Introduced,https://legiscan.com/US/text/HB13/id/365457,https://www.congress.gov/111/bills/hr13/BILLS-111hr13ih.pdf
194560,365465,text,141968,application/pdf,Introduced,https://legiscan.com/US/text/HB14/id/365465,https://www.congress.gov/111/bills/hr14/BILLS-111hr14ih.pdf
194561,365470,text,303742,application/pdf,Introduced,https://legiscan.com/US/text/HB15/id/365470,https://www.congress.gov/111/bills/hr15/BILLS-111hr15ih.pdf
194562,365477,text,122030,application/pdf,Introduced,https://legiscan.com/US/text/HB16/id/365477,https://www.congress.gov/111/bills/hr16/BILLS-111hr16ih.pdf
194563,365488,text,129252,application/pdf,Introduced,https://legiscan.com/US/text/HB17/id/365488,https://www.congress.gov/111/bills/hr17/BILLS-111hr17ih.pdf
194564,365490,text,123513,application/pdf,Introduced,https://legiscan.com/US/text/HB18/id/365490,https://www.congress.gov/111/bills/hr18/BILLS-111hr18ih.pdf
194565,365506,text,127112,application/pdf,Introduced,https://legiscan.com/US/text/HB19/id/365506,https://www.congress.gov/111/bills/hr19/BILLS-111hr19ih.pdf
194566,365516,text,136769,application/pdf,Introduced,https://legiscan.com/US/text/HB20/id/365516,https://www.congress.gov/111/bills/hr20/BILLS-111hr20ih.pdf
194566,365517,text,144686,application/pdf,Introduced,https://legiscan.com/US/text/HB20/id/365517,https://www.congress.gov/111/bills/hr20/BILLS-111hr20rh.pdf
194566,365518,text,130406,application/pdf,Engrossed,https://legiscan.com/US/text/HB20/id/365518,https://www.congress.gov/111/bills/hr20/BILLS-111hr20eh.pdf
194567,365525,text,243446,application/pdf,Introduced,https://legiscan.com/US/text/HB21/id/365525,https://www.congress.gov/111/bills/hr21/BILLS-111hr21ih.pdf
194568,365530,text,121458,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/365530,https://www.congress.gov/111/bills/hr22/BILLS-111hr22ih.pdf
194568,365531,text,149666,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/365531,https://www.congress.gov/111/bills/hr22/BILLS-111hr22rh.pdf
194568,365532,text,117311,application/pdf,Engrossed,https://legiscan.com/US/text/HB22/id/365532,https://www.congress.gov/111/bills/hr22/BILLS-111hr22eh.pdf
194569,365544,text,130669,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/365544,https://www.congress.gov/111/bills/hr23/BILLS-111hr23ih.pdf
194569,365545,text,145728,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/365545,https://www.congress.gov/111/bills/hr23/BILLS-111hr23rh.pdf
194569,365546,text,127175,application/pdf,Engrossed,https://legiscan.com/US/text/HB23/id/365546,https://www.congress.gov/111/bills/hr23/BILLS-111hr23eh.pdf
194570,365553,text,128077,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/365553,https://www.congress.gov/111/bills/hr24/BILLS-111hr24ih.pdf
194570,365554,text,126540,application/pdf,Engrossed,https://legiscan.com/US/text/HB24/id/365554,https://www.congress.gov/111/bills/hr24/BILLS-111hr24eh.pdf
194571,365559,text,343887,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/365559,https://www.congress.gov/111/bills/hr25/BILLS-111hr25ih.pdf
194572,365570,text,129144,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/365570,https://www.congress.gov/111/bills/hr26/BILLS-111hr26ih.pdf
194573,365583,text,163283,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/365583,https://www.congress.gov/111/bills/hr27/BILLS-111hr27ih.pdf
194574,365590,text,122118,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/365590,https://www.congress.gov/111/bills/hr28/BILLS-111hr28ih.pdf
194575,365601,text,122748,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/365601,https://www.congress.gov/111/bills/hr29/BILLS-111hr29ih.pdf
194576,365607,text,130876,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/365607,https://www.congress.gov/111/bills/hr30/BILLS-111hr30ih.pdf
194577,365616,text,129121,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/365616,https://www.congress.gov/111/bills/hr31/BILLS-111hr31ih.pdf
194577,365617,text,142237,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/365617,https://www.congress.gov/111/bills/hr31/BILLS-111hr31rh.pdf
194577,365619,text,127485,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/365619,https://www.congress.gov/111/bills/hr31/BILLS-111hr31pcs.pdf
194577,365618,text,126495,application/pdf,Engrossed,https://legiscan.com/US/text/HB31/id/365618,https://www.congress.gov/111/bills/hr31/BILLS-111hr31eh.pdf
194578,365636,text,137902,application/pdf,Introduced,https://legiscan.com/US/text/HB32/id/365636,https://www.congress.gov/111/bills/hr32/BILLS-111hr32ih.pdf
194579,365639,text,129515,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/365639,https://www.congress.gov/111/bills/hr33/BILLS-111hr33ih.pdf
