roll_call_id,people_id,vote,vote_desc
1066340,8947,1,Yea
1066340,8948,1,Yea
1066340,8949,1,Yea
1066340,8950,1,Yea
1066340,8951,1,Yea
1066340,8952,1,Yea
1066340,8953,1,Yea
1066340,8954,1,Yea
1066340,8955,1,Yea
1066340,8956,1,Yea
1066340,8957,1,Yea
1066340,8958,1,Yea
1066340,8959,2,Nay
1066340,8960,1,Yea
1066340,8961,1,Yea
1066340,8962,1,Yea
1066340,8963,1,Yea
1066340,8964,1,Yea
1066340,8965,2,Nay
1066340,8966,1,Yea
1066340,8967,1,Yea
1066340,8968,1,Yea
1066340,8969,1,Yea
1066340,8970,1,Yea
1066340,8971,1,Yea
1066340,8972,1,Yea
1066340,8973,1,Yea
1066340,8974,1,Yea
1066340,8975,1,Yea
1066340,8976,1,Yea
1066340,8977,1,Yea
1066340,8978,1,Yea
1066340,8979,1,Yea
1066340,8980,1,Yea
1066340,8981,1,Yea
1066340,8982,1,Yea
1066340,8983,1,Yea
1066340,8984,1,Yea
1066340,8985,1,Yea
1066340,8986,1,Yea
1066340,8987,1,Yea
1066340,8988,1,Yea
1066340,8989,1,Yea
1066340,8990,2,Nay
1066340,8991,4,Absent
1066340,8992,1,Yea
1066340,8993,1,Yea
1066340,8994,1,Yea
1066340,8995,1,Yea
1066340,8996,1,Yea
1066340,8997,1,Yea
1066340,8998,1,Yea
1066340,8999,1,Yea
1066340,9000,1,Yea
1066340,9001,2,Nay
1066340,9002,1,Yea
1066340,9003,1,Yea
1066340,9004,1,Yea
1066340,9005,1,Yea
1066340,9006,1,Yea
1066340,9007,1,Yea
1066340,9008,2,Nay
1066340,9009,1,Yea
1066340,9010,1,Yea
1066340,9011,1,Yea
1066340,9013,1,Yea
1066340,9014,1,Yea
1066340,9015,1,Yea
1066340,9016,1,Yea
1066340,9017,1,Yea
1066340,9018,1,Yea
1066340,9019,1,Yea
1066340,9021,1,Yea
1066340,9022,1,Yea
1066340,9023,1,Yea
1066340,9024,1,Yea
1066340,9025,1,Yea
1066340,9026,1,Yea
1066340,9027,2,Nay
1066340,9028,1,Yea
1066340,9029,1,Yea
1066340,9030,1,Yea
1066340,9031,1,Yea
1066340,9032,1,Yea
1066340,9033,1,Yea
1066340,9034,1,Yea
1066340,9035,1,Yea
1066340,9036,1,Yea
1066340,9037,1,Yea
1066340,9038,1,Yea
1066340,9039,1,Yea
1066340,9040,1,Yea
1066340,9041,1,Yea
1066340,9042,1,Yea
1066340,9043,1,Yea
1066340,9044,1,Yea
1066340,9045,1,Yea
1066340,9046,2,Nay
1066340,9048,1,Yea
1066340,9049,1,Yea
1066340,9050,1,Yea
1066340,9051,1,Yea
1066340,9052,1,Yea
1066340,9053,1,Yea
1066340,9054,1,Yea
1066340,9055,1,Yea
1066340,9056,1,Yea
1066340,9057,1,Yea
1066340,9058,1,Yea
1066340,9059,1,Yea
1066340,9060,1,Yea
1066340,9061,1,Yea
1066340,9062,1,Yea
1066340,9063,1,Yea
1066340,9064,1,Yea
1066340,9065,1,Yea
1066340,9066,1,Yea
1066340,9067,1,Yea
1066340,9068,1,Yea
1066340,9069,1,Yea
1066340,9070,2,Nay
1066340,9071,1,Yea
1066340,9072,1,Yea
1066340,9073,1,Yea
1066340,9074,1,Yea
1066340,9075,1,Yea
1066340,9076,1,Yea
1066340,9077,1,Yea
1066340,9078,1,Yea
1066340,9079,1,Yea
1066340,9080,1,Yea
1066340,9081,1,Yea
1066340,9082,1,Yea
1066340,9083,1,Yea
1066340,9084,1,Yea
1066340,9085,4,Absent
1066340,9086,1,Yea
1066340,9087,2,Nay
1066340,9088,4,Absent
1066340,9089,1,Yea
1066340,9090,1,Yea
1066340,9091,1,Yea
1066340,9092,2,Nay
1066340,9093,1,Yea
1066340,9094,1,Yea
1066340,9095,1,Yea
1066340,9096,1,Yea
1066340,9097,1,Yea
1066340,9098,1,Yea
1066340,9099,1,Yea
1066340,9101,1,Yea
1066340,9102,1,Yea
1066340,9103,1,Yea
1066340,9104,1,Yea
1066340,9105,1,Yea
1066340,9106,1,Yea
1066340,9107,1,Yea
1066340,9109,1,Yea
1066340,9110,1,Yea
1066340,9111,1,Yea
1066340,9112,1,Yea
1066340,9113,1,Yea
1066340,9114,1,Yea
1066340,9115,1,Yea
1066340,9116,1,Yea
1066340,9117,1,Yea
1066340,9118,1,Yea
1066340,9119,1,Yea
1066340,9120,1,Yea
1066340,9121,1,Yea
1066340,9122,2,Nay
1066340,9123,1,Yea
1066340,9124,1,Yea
1066340,9125,1,Yea
1066340,9126,1,Yea
1066340,9127,1,Yea
1066340,9128,1,Yea
1066340,9129,1,Yea
1066340,9130,1,Yea
1066340,9131,1,Yea
1066340,9132,1,Yea
1066340,9133,1,Yea
1066340,9134,1,Yea
1066340,9135,1,Yea
1066340,9136,1,Yea
1066340,9137,1,Yea
1066340,9138,1,Yea
1066340,9139,1,Yea
1066340,9140,1,Yea
1066340,9141,1,Yea
1066340,9142,1,Yea
1066340,9143,1,Yea
1066340,9144,1,Yea
1066340,9145,1,Yea
1066340,9146,1,Yea
1066340,9147,1,Yea
1066340,9148,1,Yea
1066340,9149,1,Yea
1066340,9150,1,Yea
1066340,9151,1,Yea
1066340,9152,1,Yea
1066340,9153,1,Yea
1066340,9154,2,Nay
1066340,9155,2,Nay
1066340,9156,2,Nay
1066340,9157,2,Nay
1066340,9158,2,Nay
1066340,9159,1,Yea
1066340,9160,1,Yea
1066340,9161,1,Yea
1066340,9162,2,Nay
1066340,9163,2,Nay
1066340,9164,2,Nay
1066340,9166,2,Nay
1066340,9167,1,Yea
1066340,9168,4,Absent
1066340,9169,2,Nay
1066340,9170,1,Yea
1066340,9171,2,Nay
1066340,9172,2,Nay
1066340,9173,2,Nay
1066340,9174,4,Absent
1066340,9175,2,Nay
1066340,9176,2,Nay
1066340,9177,2,Nay
1066340,9178,2,Nay
1066340,9179,2,Nay
1066340,9180,1,Yea
1066340,9181,2,Nay
1066340,9182,2,Nay
1066340,9183,2,Nay
1066340,9184,2,Nay
1066340,9185,2,Nay
1066340,9186,2,Nay
1066340,9187,1,Yea
1066340,9188,2,Nay
1066340,9189,1,Yea
1066340,9190,2,Nay
1066340,9191,2,Nay
1066340,9192,2,Nay
1066340,9193,2,Nay
1066340,9194,2,Nay
1066340,9195,2,Nay
1066340,9196,2,Nay
1066340,9197,2,Nay
1066340,9198,2,Nay
1066340,9199,2,Nay
1066340,9200,2,Nay
1066340,9201,1,Yea
1066340,9202,2,Nay
1066340,9203,2,Nay
1066340,9204,2,Nay
1066340,9205,2,Nay
1066340,9206,2,Nay
1066340,9207,2,Nay
1066340,9208,2,Nay
1066340,9209,2,Nay
1066340,9210,2,Nay
1066340,9211,2,Nay
1066340,9212,2,Nay
1066340,9213,2,Nay
1066340,9214,2,Nay
1066340,9215,2,Nay
1066340,9216,2,Nay
1066340,9217,2,Nay
1066340,9218,2,Nay
1066340,9219,2,Nay
1066340,9220,2,Nay
1066340,9221,2,Nay
1066340,9222,2,Nay
1066340,9223,2,Nay
1066340,9224,2,Nay
1066340,9225,2,Nay
1066340,9226,2,Nay
1066340,9227,2,Nay
1066340,9228,2,Nay
1066340,9229,2,Nay
1066340,9230,2,Nay
1066340,9231,2,Nay
1066340,9232,2,Nay
1066340,9233,1,Yea
1066340,9236,1,Yea
1066340,9237,2,Nay
1066340,9238,2,Nay
1066340,9239,1,Yea
1066340,9240,2,Nay
1066340,9241,1,Yea
1066340,9242,2,Nay
1066340,9243,2,Nay
1066340,9244,2,Nay
1066340,9245,2,Nay
1066340,9246,2,Nay
1066340,9247,2,Nay
1066340,9248,2,Nay
1066340,9249,2,Nay
1066340,9250,2,Nay
1066340,9251,2,Nay
1066340,9252,2,Nay
1066340,9253,2,Nay
1066340,9254,2,Nay
1066340,9255,2,Nay
1066340,9256,2,Nay
1066340,9257,2,Nay
1066340,9258,1,Yea
1066340,9259,2,Nay
1066340,9260,2,Nay
1066340,9261,1,Yea
1066340,9262,2,Nay
1066340,9263,1,Yea
1066340,9264,2,Nay
1066340,9265,2,Nay
1066340,9266,2,Nay
1066340,9267,2,Nay
1066340,9268,4,Absent
1066340,9269,2,Nay
1066340,9270,2,Nay
1066340,9271,2,Nay
1066340,9272,2,Nay
1066340,9273,2,Nay
1066340,9274,2,Nay
1066340,9275,1,Yea
1066340,9276,2,Nay
1066340,9277,1,Yea
1066340,9278,2,Nay
1066340,9279,2,Nay
1066340,9280,2,Nay
1066340,9281,2,Nay
1066340,9282,2,Nay
1066340,9283,2,Nay
1066340,9284,2,Nay
1066340,9285,1,Yea
1066340,9286,1,Yea
1066340,9287,2,Nay
1066340,9288,2,Nay
1066340,9289,2,Nay
1066340,9290,2,Nay
1066340,9291,2,Nay
1066340,9292,2,Nay
1066340,9293,2,Nay
1066340,9294,2,Nay
1066340,9295,2,Nay
1066340,9296,2,Nay
1066340,9297,2,Nay
1066340,9298,1,Yea
1066340,9299,1,Yea
1066340,9300,2,Nay
1066340,9301,2,Nay
1066340,9302,2,Nay
1066340,9303,2,Nay
1066340,9304,1,Yea
1066340,9305,2,Nay
1066340,9306,2,Nay
1066340,9307,1,Yea
1066340,9308,2,Nay
