split,model,n_train,n_test,train_positive_rate,test_positive_rate,train_source_mix,test_source_mix,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,predicted_positive_rate,fit_seconds
temporal_canada,logreg_l1_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",1.0,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.478
temporal_canada,random_forest_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",1.0,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,1.264
temporal_canada,logreg_l2_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.472
temporal_canada,logreg_l2_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,2.463
temporal_canada,linear_svm_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.483
temporal_canada,naive_bayes_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5841227268116664,0.8724274718032257,0.5773195876288659,0.7368421052631579,0.4745762711864407,0.7336197570165512,0.026722925457102673,0.39
temporal_canada,dummy_stratified,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.041079271853917854,0.49450364972580424,0.06349206349206349,0.0390625,0.1694915254237288,0.49450364972580424,0.180028129395218,0.474
temporal_us,random_forest_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.7445780162523327,0.9980388520447273,0.6411657559198543,0.47696476964769646,0.9777777777777777,0.9845937003902019,0.016293548814412504,38.982
temporal_us,linear_svm_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.5412312738348568,0.9954216801926776,0.5652173913043478,0.4043062200956938,0.9388888888888889,0.9639029836352576,0.018457190797898176,32.383
temporal_us,logreg_l2_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.4854080663433966,0.995084519022962,0.38660907127429806,0.23994638069705093,0.9944444444444445,0.9846037150784113,0.03294034529959818,378.515
temporal_us,logreg_l2_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.4783697895425236,0.9949518553137193,0.45758354755784064,0.2976588628762542,0.9888888888888889,0.9850974021156956,0.02640526339029452,19.914
temporal_us,logreg_l1_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.4781397254866383,0.9949451788549132,0.45699614890885754,0.29716193656093487,0.9888888888888889,0.9850751472530082,0.026449419349141166,26.354
temporal_us,naive_bayes_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.09509533892984649,0.8139134928759711,0.21024258760107817,0.20418848167539266,0.21666666666666667,0.6049505942048338,0.008433788139709453,19.935
temporal_us,dummy_stratified,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.00793160891716992,0.4988486817703001,0.010884353741496598,0.007207207207207207,0.022222222222222223,0.4988486817703002,0.024506557159888726,19.914
transfer_canada_to_us,random_forest_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.086955954590576,0.8045157351318233,0.0,0.0,0.0,0.5,0.0,39.019
transfer_canada_to_us,linear_svm_meta_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.04786131275626131,0.49551603579932857,0.09736680955296999,0.18088737201365188,0.06661080854629242,0.5300575965433638,0.007762891787584672,36.796
transfer_canada_to_us,logreg_l2_meta_text,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.045559708684716704,0.5020345399657913,0.11149825783972125,0.13733905579399142,0.093841642228739,0.5405740635090864,0.01440418260017133,36.981
transfer_canada_to_us,logreg_l2_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.04268430234395091,0.4434076684152641,0.09781605659796985,0.1840277777777778,0.06661080854629242,0.530125259204401,0.007630419231482544,22.125
