split,model,n_train,n_test,train_positive_rate,test_positive_rate,train_source_mix,test_source_mix,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,predicted_positive_rate,fit_seconds
temporal_canada,random_forest_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.7137452800333387,0.9217889252272529,0.36610169491525424,0.2288135593220339,0.9152542372881356,0.89086262854869,0.1659634317862166,1.826
temporal_canada,logreg_l2_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.708354763156429,0.9239837347824466,0.09298393913778528,0.04893238434163701,0.9322033898305084,0.5739520250693261,0.790436005625879,3.108
temporal_canada,naive_bayes_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5862552592908105,0.8951341134337267,0.5370370370370371,0.5918367346938775,0.4915254237288136,0.7384259547110685,0.034458509142053444,0.735
temporal_canada,logreg_l2_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5744143015204418,0.9224231194896602,0.09274873524451939,0.048802129547471165,0.9322033898305084,0.5728515114963254,0.7925457102672293,0.749
temporal_canada,logreg_l1_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5727837970007893,0.922286332491886,0.09274873524451939,0.048802129547471165,0.9322033898305084,0.5728515114963254,0.7925457102672293,0.751
temporal_canada,linear_svm_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5490798409955321,0.8981558625663727,0.12558139534883722,0.06741573033707865,0.9152542372881356,0.6835992389668851,0.5632911392405063,0.86
temporal_canada,dummy_stratified,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.041079271853917854,0.49450364972580424,0.06349206349206349,0.0390625,0.1694915254237288,0.49450364972580424,0.180028129395218,0.747
temporal_us,naive_bayes_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.09711959873797778,0.8221934145388545,0.23057644110275688,0.2100456621004566,0.25555555555555554,0.6239276865328407,0.009670154987415552,53.873
temporal_us,logreg_l2_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.08249960910963126,0.8384723520422546,0.09556313993174062,0.053231939163498096,0.4666666666666667,0.7000845684782124,0.06967810306000795,525.879
temporal_us,linear_svm_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.08013445487217671,0.8204028871975193,0.08270238788584741,0.04619388418998048,0.39444444444444443,0.6645965935223513,0.06786770874729545,73.645
