split,model,n_train,n_test,train_positive_rate,test_positive_rate,train_source_mix,test_source_mix,pr_auc,roc_auc,f1,precision,recall,balanced_accuracy,predicted_positive_rate,fit_seconds
temporal_canada,logreg_l1_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",1.0,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.83
temporal_canada,random_forest_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",1.0,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,1.613
temporal_canada,logreg_l2_meta,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.757
temporal_canada,logreg_l2_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,3.392
temporal_canada,linear_svm_meta_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.04149085794655415,0.863
temporal_canada,naive_bayes_text,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.5862552592908105,0.8951341134337267,0.5370370370370371,0.5918367346938775,0.4915254237288136,0.7384259547110685,0.034458509142053444,0.717
temporal_canada,dummy_stratified,5686,1422,0.17692578262398875,0.04149085794655415,"{""canada"": 5686}","{""canada"": 1422}",0.041079271853917854,0.49450364972580424,0.06349206349206349,0.0390625,0.1694915254237288,0.49450364972580424,0.180028129395218,0.761
temporal_us,random_forest_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.7445780162523327,0.9980388520447273,0.6411657559198543,0.47696476964769646,0.9777777777777777,0.9845937003902019,0.016293548814412504,67.512
temporal_us,linear_svm_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.5497645226500382,0.9956518943833671,0.5709401709401709,0.4123456790123457,0.9277777777777778,0.9585922315692645,0.017883163332891774,66.952
temporal_us,logreg_l2_meta_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.4826653254713931,0.995034074667537,0.4371184371184371,0.28012519561815336,0.9944444444444445,0.9869849853859736,0.028215657703007022,524.003
temporal_us,logreg_l2_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.4783697895425236,0.9949518553137193,0.45758354755784064,0.2976588628762542,0.9888888888888889,0.9850974021156956,0.02640526339029452,23.22
temporal_us,logreg_l1_meta,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.47814618371302015,0.9949454261311653,0.45699614890885754,0.29716193656093487,0.9888888888888889,0.9850751472530082,0.026449419349141166,45.558
temporal_us,naive_bayes_text,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.09711959873797778,0.8221934145388545,0.23057644110275688,0.2100456621004566,0.25555555555555554,0.6239276865328407,0.009670154987415552,50.843
temporal_us,dummy_stratified,90584,22647,0.024364126114987193,0.007948072592396344,"{""us"": 90584}","{""us"": 22647}",0.00793160891716992,0.4988486817703001,0.010884353741496598,0.007207207207207207,0.022222222222222223,0.4988486817703002,0.024506557159888726,24.529
transfer_canada_to_us,random_forest_meta,7108,113231,0.14983117613956107,0.02108079942771856,"{""canada"": 7108}","{""us"": 113231}",0.086955954590576,0.8045157351318233,0.0,0.0,0.0,0.5,0.0,46.351
