bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1393390,2238600,text,1606656,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/2238600,https://www.congress.gov/117/bills/hr1/BILLS-117hr1ih.pdf
1393390,2331257,text,1492948,application/pdf,Engrossed,https://legiscan.com/US/text/HB1/id/2331257,https://www.congress.gov/117/bills/hr1/BILLS-117hr1eh.pdf
1503172,2382913,text,525904,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/2382913,https://www.congress.gov/117/bills/hr3/BILLS-117hr3ih.pdf
1520890,2428899,text,338552,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/2428899,https://www.congress.gov/117/bills/hr4/BILLS-117hr4ih.pdf
1520890,2429887,text,216430,application/pdf,Engrossed,https://legiscan.com/US/text/HB4/id/2429887,https://www.congress.gov/117/bills/hr4/BILLS-117hr4eh.pdf
1457065,2300407,text,323274,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/2300407,https://www.congress.gov/117/bills/hr5/BILLS-117hr5ih.pdf
1457065,2322038,text,275038,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/2322038,https://www.congress.gov/117/bills/hr5/BILLS-117hr5pcs.pdf
1457065,2316584,text,185385,application/pdf,Engrossed,https://legiscan.com/US/text/HB5/id/2316584,https://www.congress.gov/117/bills/hr5/BILLS-117hr5eh.pdf
1472798,2324128,text,357986,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/2324128,https://www.congress.gov/117/bills/hr6/BILLS-117hr6ih.pdf
1472798,2343212,text,217430,application/pdf,Engrossed,https://legiscan.com/US/text/HB6/id/2343212,https://www.congress.gov/117/bills/hr6/BILLS-117hr6eh.pdf
1429347,2267390,text,327922,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/2267390,https://www.congress.gov/117/bills/hr7/BILLS-117hr7ih.pdf
1429347,2357181,text,306028,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/2357181,https://www.congress.gov/117/bills/hr7/BILLS-117hr7rh.pdf
1429347,2379882,text,258523,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/2379882,https://www.congress.gov/117/bills/hr7/BILLS-117hr7pcs.pdf
1429347,2374471,text,175576,application/pdf,Engrossed,https://legiscan.com/US/text/HB7/id/2374471,https://www.congress.gov/117/bills/hr7/BILLS-117hr7eh.pdf
1470471,2319418,text,273568,application/pdf,Introduced,https://legiscan.com/US/text/HB8/id/2319418,https://www.congress.gov/117/bills/hr8/BILLS-117hr8ih.pdf
1470471,2589990,text,202095,application/pdf,Introduced,https://legiscan.com/US/text/HB8/id/2589990,https://www.congress.gov/117/bills/hr8/BILLS-117hr8pcs.pdf
1470471,2333881,text,144367,application/pdf,Engrossed,https://legiscan.com/US/text/HB8/id/2333881,https://www.congress.gov/117/bills/hr8/BILLS-117hr8eh.pdf
1439887,2280256,text,292130,application/pdf,Introduced,https://legiscan.com/US/text/HB18/id/2280256,https://www.congress.gov/117/bills/hr18/BILLS-117hr18ih.pdf
1502759,2381408,text,552745,application/pdf,Introduced,https://legiscan.com/US/text/HB19/id/2381408,https://www.congress.gov/117/bills/hr19/BILLS-117hr19ih.pdf
1393306,2228822,text,321041,application/pdf,Introduced,https://legiscan.com/US/text/HB21/id/2228822,https://www.congress.gov/117/bills/hr21/BILLS-117hr21ih.pdf
1393306,2228823,text,196104,application/pdf,Engrossed,https://legiscan.com/US/text/HB21/id/2228823,https://www.congress.gov/117/bills/hr21/BILLS-117hr21eh.pdf
1393297,2228482,text,290233,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/2228482,https://www.congress.gov/117/bills/hr22/BILLS-117hr22ih.pdf
1393297,2228960,text,163113,application/pdf,Engrossed,https://legiscan.com/US/text/HB22/id/2228960,https://www.congress.gov/117/bills/hr22/BILLS-117hr22eh.pdf
1393315,2228824,text,284533,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/2228824,https://www.congress.gov/117/bills/hr23/BILLS-117hr23ih.pdf
1393315,2228825,text,160491,application/pdf,Engrossed,https://legiscan.com/US/text/HB23/id/2228825,https://www.congress.gov/117/bills/hr23/BILLS-117hr23eh.pdf
1393327,2238655,text,284836,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/2238655,https://www.congress.gov/117/bills/hr24/BILLS-117hr24ih.pdf
1393356,2256124,text,495960,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/2256124,https://www.congress.gov/117/bills/hr25/BILLS-117hr25ih.pdf
1393417,2228546,text,286259,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/2228546,https://www.congress.gov/117/bills/hr26/BILLS-117hr26ih.pdf
1393417,2228547,text,159363,application/pdf,Engrossed,https://legiscan.com/US/text/HB26/id/2228547,https://www.congress.gov/117/bills/hr26/BILLS-117hr26eh.pdf
1393417,2425405,text,132650,application/pdf,Enrolled,https://legiscan.com/US/text/HB26/id/2425405,https://www.congress.gov/117/bills/hr26/BILLS-117hr26enr.pdf
1393386,2228870,text,293769,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/2228870,https://www.congress.gov/117/bills/hr27/BILLS-117hr27ih.pdf
1393386,2228871,text,169808,application/pdf,Engrossed,https://legiscan.com/US/text/HB27/id/2228871,https://www.congress.gov/117/bills/hr27/BILLS-117hr27eh.pdf
1393266,2239450,text,285086,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/2239450,https://www.congress.gov/117/bills/hr28/BILLS-117hr28ih.pdf
1393398,2240903,text,280057,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/2240903,https://www.congress.gov/117/bills/hr29/BILLS-117hr29ih.pdf
1393352,2238609,text,297929,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/2238609,https://www.congress.gov/117/bills/hr30/BILLS-117hr30ih.pdf
1393351,2238945,text,280297,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/2238945,https://www.congress.gov/117/bills/hr31/BILLS-117hr31ih.pdf
