bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1391903,984151,2021-01-03,House,"On agreeing to the resolution",371,2,0,59,432
1393278,984165,2021-01-04,House,"On motion to table the motion to postpone consideration to a day certain",214,204,0,11,429
1393278,984166,2021-01-04,House,"On motion to table the motion to refer",214,196,0,19,429
1393278,984167,2021-01-04,House,"On ordering the previous question",217,204,0,8,429
1393278,984168,2021-01-04,House,"On motion to commit with instructions",203,217,0,9,429
1393278,984169,2021-01-04,House,"On agreeing to the resolution",217,206,0,6,429
1393281,1053839,2021-04-14,House,"On motion to suspend the rules and pass the bill",381,37,0,11,429
1393297,984248,2021-01-05,House,"On motion to suspend the rules and pass the bill",412,2,0,16,430
1393355,1204243,2022-05-12,House,"On motion to suspend the rules and pass the bill",412,3,2,11,428
1393375,1157438,2022-02-28,House,"On motion to suspend the rules and pass the bill, as amended",422,3,0,8,433
1393390,1020297,2021-03-02,House,"On agreeing to the Bush amendment (A004) H.Amdt.18",97,328,0,6,431
1393390,1020298,2021-03-02,House,"On agreeing to the Davis, Rodney amendment (A005) H.Amdt.19",207,218,0,6,431
1393390,1020299,2021-03-02,House,"On agreeing to the Lofgren amendments (A002) H.Amdt.16",218,210,0,3,431
1393390,1020300,2021-03-02,House,"On agreeing to the Lofgren amendments (A006) H.Amdt.20",221,207,0,3,431
1393390,1021364,2021-03-03,House,"On agreeing to the Lofgren amendments (A009) H.Amdt.23",223,208,0,0,431
1393390,1021365,2021-03-03,House,"On agreeing to the Pressley amendment (A008) H.Amdt.22",125,302,0,4,431
1393390,1021366,2021-03-03,House,"On motion to recommit",210,219,0,2,431
1393390,1021367,2021-03-03,House,"On passage",220,210,0,2,432
1393394,1061373,2021-04-22,House,"On motion to recommit",205,215,0,9,429
1393394,1061374,2021-04-22,House,"On passage",216,208,0,6,430
1393402,1204188,2022-05-12,House,"On motion to suspend the rules and pass the bill",405,3,2,18,428
1393420,1116306,2021-11-16,House,"On motion to suspend the rules and pass the bill, as amended",427,0,0,6,433
1394612,1204213,2022-05-12,House,"On motion to suspend the rules and pass the bill",408,3,2,15,428
1394620,1204225,2022-05-12,House,"On motion to suspend the rules and pass the bill",406,4,2,16,428
1394630,1222137,2022-07-14,House,"On motion to suspend the rules and pass the bill",386,35,4,5,430
1394633,1014585,2021-02-23,House,"On motion to suspend the rules and pass the bill",406,15,0,10,431
1395611,1203635,2022-05-11,House,"On motion to suspend the rules and pass the bill",408,0,1,19,428
1400500,1222585,2022-07-29,House,"On passage",278,134,0,18,430
1400568,1098296,2021-06-15,House,"On motion to suspend the rules and pass the bill",240,188,0,2,430
1400568,1101958,2021-06-24,House,"On passage",245,181,0,4,430
1401017,987752,2021-01-13,House,"On agreeing to the resolution",232,197,0,4,433
1401017,1005547,2021-02-13,Senate,"The Senate adjudges that Donald John Trump, former President of the United States, is not guilty as charged in the Article of Impeachment RC# 59",57,43,0,0,100
1401017,1105673,2021-01-26,Senate,"Motion to Table: Is the Point of Order Well Taken?",55,45,0,0,100
1401225,1099324,2021-06-17,House,"On motion to recommit",204,219,0,7,430
1401225,1099325,2021-06-17,House,"On passage",268,161,0,2,431
1401812,985115,2021-01-12,House,"On agreeing to the resolution",223,205,0,5,433
1403958,987753,2021-01-13,House,"On ordering the previous question",221,205,0,6,432
1403958,987754,2021-01-13,House,"On agreeing to the resolution",221,203,0,8,432
1403967,985170,2021-01-12,House,"On ordering the previous question",219,206,0,7,432
1403967,985171,2021-01-12,House,"On agreeing to the resolution",222,204,0,7,433
1405809,1226186,2022-09-15,House,"On agreeing to the Hice (GA) amendment (A002) H.Amdt.318",204,226,0,2,432
1405809,1226187,2022-09-15,House,"On passage",225,204,0,3,432
1408717,989461,2021-01-21,House,"On passage",326,78,0,27,431
1408717,989501,2021-01-21,Senate,"Received in the Senate, read twice, considered, read the third time, and passed (under the order of 1/21/21, having achieved 60 votes in the affirmative) without amendment RC# 4",69,27,0,4,100
1412019,1205942,2022-05-18,House,"On passage",222,203,0,4,429
1412019,1210064,2022-05-26,Senate,"Motion by Senator Schumer to reconsider the vote by which cloture was not invoked on the motion to proceed to H.R. 350 (Record Vote No. 210) entered in Senate.",47,47,0,6,100
1417919,1102604,2021-06-28,House,"On motion to suspend the rules and pass the bill, as amended",307,112,0,11,430
1417930,1031091,2021-03-17,House,"On passage",222,204,0,4,430
1418077,1115559,2021-11-04,House,"On motion to suspend the rules and pass the bill",422,2,1,8,433
1422248,1054927,2021-04-15,House,"On motion to suspend the rules and pass the bill",413,8,0,8,429
