bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
668445,1184177,text,658159,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1184177,https://www.congress.gov/114/bills/hr2/BILLS-114hr2ih.pdf
668445,1186641,text,425994,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/1186641,https://www.congress.gov/114/bills/hr2/BILLS-114hr2eh.pdf
668445,1206406,text,315399,application/pdf,Enrolled,https://legiscan.com/US/text/HB2/id/1206406,https://www.congress.gov/114/bills/hr2/BILLS-114hr2enr.pdf
668091,1060708,text,249773,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/1060708,https://www.congress.gov/114/bills/hr3/BILLS-114hr3ih.pdf
668091,1069011,text,213533,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/1069011,https://www.congress.gov/114/bills/hr3/BILLS-114hr3pcs.pdf
668091,1064821,text,116277,application/pdf,Engrossed,https://legiscan.com/US/text/HB3/id/1064821,https://www.congress.gov/114/bills/hr3/BILLS-114hr3eh.pdf
668808,1110626,text,1155032,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/1110626,https://www.congress.gov/114/bills/hr5/BILLS-114hr5ih.pdf
668808,1136400,text,1184455,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/1136400,https://www.congress.gov/114/bills/hr5/BILLS-114hr5rh.pdf
668808,1255468,text,1186156,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/1255468,https://www.congress.gov/114/bills/hr5/BILLS-114hr5pcs.pdf
668808,1255103,text,844894,application/pdf,Engrossed,https://legiscan.com/US/text/HB5/id/1255103,https://www.congress.gov/114/bills/hr5/BILLS-114hr5eh.pdf
668571,1233114,text,745016,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/1233114,https://www.congress.gov/114/bills/hr6/BILLS-114hr6ih.pdf
668571,1254514,text,793709,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/1254514,https://www.congress.gov/114/bills/hr6/BILLS-114hr6rh.pdf
668571,1255186,text,546667,application/pdf,Engrossed,https://legiscan.com/US/text/HB6/id/1255186,https://www.congress.gov/114/bills/hr6/BILLS-114hr6eh.pdf
668532,1085186,text,264181,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/1085186,https://www.congress.gov/114/bills/hr7/BILLS-114hr7ih.pdf
668532,1087796,text,132188,application/pdf,Engrossed,https://legiscan.com/US/text/HB7/id/1087796,https://www.congress.gov/114/bills/hr7/BILLS-114hr7eh.pdf
668580,1262643,text,397471,application/pdf,Introduced,https://legiscan.com/US/text/HB8/id/1262643,https://www.congress.gov/114/bills/hr8/BILLS-114hr8ih.pdf
668580,1274991,text,626279,application/pdf,Introduced,https://legiscan.com/US/text/HB8/id/1274991,https://www.congress.gov/114/bills/hr8/BILLS-114hr8rh.pdf
668580,1276373,text,445680,application/pdf,Engrossed,https://legiscan.com/US/text/HB8/id/1276373,https://www.congress.gov/114/bills/hr8/BILLS-114hr8eh.pdf
668600,1123831,text,343923,application/pdf,Introduced,https://legiscan.com/US/text/HB9/id/1123831,https://www.congress.gov/114/bills/hr9/BILLS-114hr9ih.pdf
668600,1257128,text,382570,application/pdf,Introduced,https://legiscan.com/US/text/HB9/id/1257128,https://www.congress.gov/114/bills/hr9/BILLS-114hr9rh.pdf
668724,1264521,text,280656,application/pdf,Introduced,https://legiscan.com/US/text/HB10/id/1264521,https://www.congress.gov/114/bills/hr10/BILLS-114hr10ih.pdf
668724,1265960,text,272842,application/pdf,Introduced,https://legiscan.com/US/text/HB10/id/1265960,https://www.congress.gov/114/bills/hr10/BILLS-114hr10rh.pdf
668724,1423410,text,245961,application/pdf,Introduced,https://legiscan.com/US/text/HB10/id/1423410,https://www.congress.gov/114/bills/hr10/BILLS-114hr10pcs.pdf
668724,1272295,text,143423,application/pdf,Engrossed,https://legiscan.com/US/text/HB10/id/1272295,https://www.congress.gov/114/bills/hr10/BILLS-114hr10eh.pdf
668453,1183395,text,527927,application/pdf,Introduced,https://legiscan.com/US/text/HB12/id/1183395,https://www.congress.gov/114/bills/hr12/BILLS-114hr12ih.pdf
668465,1091039,text,373167,application/pdf,Introduced,https://legiscan.com/US/text/HB20/id/1091039,https://www.congress.gov/114/bills/hr20/BILLS-114hr20ih.pdf
668337,1062350,text,253137,application/pdf,Introduced,https://legiscan.com/US/text/HB21/id/1062350,https://www.congress.gov/114/bills/hr21/BILLS-114hr21ih.pdf
668323,1062345,text,115860,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/1062345,https://www.congress.gov/114/bills/hr22/BILLS-114hr22eh.pdf
668323,1125844,text,231845,application/pdf,Introduced,https://legiscan.com/US/text/HB22/id/1125844,https://www.congress.gov/114/bills/hr22/BILLS-114hr22rs.pdf
668323,1257175,text,1690590,application/pdf,Amended,https://legiscan.com/US/text/HB22/id/1257175,https://www.congress.gov/114/bills/hr22/BILLS-114hr22eas.pdf
668323,1273681,text,1439413,application/pdf,Amended,https://legiscan.com/US/text/HB22/id/1273681,https://www.congress.gov/114/bills/hr22/BILLS-114hr22eah.pdf
668323,1276372,text,1107824,application/pdf,Enrolled,https://legiscan.com/US/text/HB22/id/1276372,https://www.congress.gov/114/bills/hr22/BILLS-114hr22enr.pdf
668125,1060718,text,265093,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/1060718,https://www.congress.gov/114/bills/hr23/BILLS-114hr23ih.pdf
668125,1248262,text,313923,application/pdf,Introduced,https://legiscan.com/US/text/HB23/id/1248262,https://www.congress.gov/114/bills/hr23/BILLS-114hr23rs.pdf
668125,1256624,text,234047,application/pdf,Amended,https://legiscan.com/US/text/HB23/id/1256624,https://www.congress.gov/114/bills/hr23/BILLS-114hr23eas.pdf
668125,1063865,text,129112,application/pdf,Engrossed,https://legiscan.com/US/text/HB23/id/1063865,https://www.congress.gov/114/bills/hr23/BILLS-114hr23eh.pdf
668125,1262685,text,130544,application/pdf,Enrolled,https://legiscan.com/US/text/HB23/id/1262685,https://www.congress.gov/114/bills/hr23/BILLS-114hr23enr.pdf
668137,1062351,text,251543,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/1062351,https://www.congress.gov/114/bills/hr24/BILLS-114hr24ih.pdf
668137,1423376,text,259971,application/pdf,Introduced,https://legiscan.com/US/text/HB24/id/1423376,https://www.congress.gov/114/bills/hr24/BILLS-114hr24rh.pdf
668186,1063653,text,464081,application/pdf,Introduced,https://legiscan.com/US/text/HB25/id/1063653,https://www.congress.gov/114/bills/hr25/BILLS-114hr25ih.pdf
668101,1060712,text,354444,application/pdf,Introduced,https://legiscan.com/US/text/HB26/id/1060712,https://www.congress.gov/114/bills/hr26/BILLS-114hr26ih.pdf
668101,1062981,text,200108,application/pdf,Engrossed,https://legiscan.com/US/text/HB26/id/1062981,https://www.congress.gov/114/bills/hr26/BILLS-114hr26eh.pdf
668101,1065171,text,177967,application/pdf,Enrolled,https://legiscan.com/US/text/HB26/id/1065171,https://www.congress.gov/114/bills/hr26/BILLS-114hr26enr.pdf
668341,1065512,text,250943,application/pdf,Introduced,https://legiscan.com/US/text/HB27/id/1065512,https://www.congress.gov/114/bills/hr27/BILLS-114hr27ih.pdf
668203,1065492,text,251390,application/pdf,Introduced,https://legiscan.com/US/text/HB28/id/1065492,https://www.congress.gov/114/bills/hr28/BILLS-114hr28ih.pdf
668327,1065485,text,248067,application/pdf,Introduced,https://legiscan.com/US/text/HB29/id/1065485,https://www.congress.gov/114/bills/hr29/BILLS-114hr29ih.pdf
668263,1060758,text,254148,application/pdf,Introduced,https://legiscan.com/US/text/HB30/id/1060758,https://www.congress.gov/114/bills/hr30/BILLS-114hr30ih.pdf
668263,1065184,text,117022,application/pdf,Engrossed,https://legiscan.com/US/text/HB30/id/1065184,https://www.congress.gov/114/bills/hr30/BILLS-114hr30eh.pdf
668104,1065515,text,248722,application/pdf,Introduced,https://legiscan.com/US/text/HB31/id/1065515,https://www.congress.gov/114/bills/hr31/BILLS-114hr31ih.pdf
668234,1065520,text,247119,application/pdf,Introduced,https://legiscan.com/US/text/HB32/id/1065520,https://www.congress.gov/114/bills/hr32/BILLS-114hr32ih.pdf
668160,1065494,text,250242,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/1065494,https://www.congress.gov/114/bills/hr33/BILLS-114hr33ih.pdf
668160,1080055,text,215254,application/pdf,Introduced,https://legiscan.com/US/text/HB33/id/1080055,https://www.congress.gov/114/bills/hr33/BILLS-114hr33pcs.pdf
668160,1148698,text,214477,application/pdf,Amended,https://legiscan.com/US/text/HB33/id/1148698,https://www.congress.gov/114/bills/hr33/BILLS-114hr33eas.pdf
668160,1070552,text,117616,application/pdf,Engrossed,https://legiscan.com/US/text/HB33/id/1070552,https://www.congress.gov/114/bills/hr33/BILLS-114hr33eh.pdf
668160,1148699,text,113804,application/pdf,Enrolled,https://legiscan.com/US/text/HB33/id/1148699,https://www.congress.gov/114/bills/hr33/BILLS-114hr33enr.pdf
668348,1060783,text,284680,application/pdf,Introduced,https://legiscan.com/US/text/HB34/id/1060783,https://www.congress.gov/114/bills/hr34/BILLS-114hr34ih.pdf
668348,1263027,text,398233,application/pdf,Introduced,https://legiscan.com/US/text/HB34/id/1263027,https://www.congress.gov/114/bills/hr34/BILLS-114hr34rs.pdf
668348,1264775,text,265460,application/pdf,Amended,https://legiscan.com/US/text/HB34/id/1264775,https://www.congress.gov/114/bills/hr34/BILLS-114hr34eas.pdf
668348,1436284,text,1093441,application/pdf,Amended,https://legiscan.com/US/text/HB34/id/1436284,https://www.congress.gov/114/bills/hr34/BILLS-114hr34eah.pdf
668348,1064275,text,144881,application/pdf,Engrossed,https://legiscan.com/US/text/HB34/id/1064275,https://www.congress.gov/114/bills/hr34/BILLS-114hr34eh.pdf
668348,1437274,text,746815,application/pdf,Enrolled,https://legiscan.com/US/text/HB34/id/1437274,https://www.congress.gov/114/bills/hr34/BILLS-114hr34enr.pdf
668188,1060738,text,250340,application/pdf,Introduced,https://legiscan.com/US/text/HB35/id/1060738,https://www.congress.gov/114/bills/hr35/BILLS-114hr35ih.pdf
668188,1063646,text,116752,application/pdf,Engrossed,https://legiscan.com/US/text/HB35/id/1063646,https://www.congress.gov/114/bills/hr35/BILLS-114hr35eh.pdf
668200,1065530,text,261293,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/1065530,https://www.congress.gov/114/bills/hr36/BILLS-114hr36ih.pdf
668200,1262626,text,244366,application/pdf,Introduced,https://legiscan.com/US/text/HB36/id/1262626,https://www.congress.gov/114/bills/hr36/BILLS-114hr36pcs.pdf
668200,1229972,text,142144,application/pdf,Engrossed,https://legiscan.com/US/text/HB36/id/1229972,https://www.congress.gov/114/bills/hr36/BILLS-114hr36eh.pdf
668138,1060724,text,291801,application/pdf,Introduced,https://legiscan.com/US/text/HB37/id/1060724,https://www.congress.gov/114/bills/hr37/BILLS-114hr37ih.pdf
668138,1073300,text,151308,application/pdf,Engrossed,https://legiscan.com/US/text/HB37/id/1073300,https://www.congress.gov/114/bills/hr37/BILLS-114hr37eh.pdf
668296,1065535,text,251219,application/pdf,Introduced,https://legiscan.com/US/text/HB38/id/1065535,https://www.congress.gov/114/bills/hr38/BILLS-114hr38ih.pdf
668202,1065534,text,250569,application/pdf,Introduced,https://legiscan.com/US/text/HB39/id/1065534,https://www.congress.gov/114/bills/hr39/BILLS-114hr39ih.pdf
668116,1065529,text,261903,application/pdf,Introduced,https://legiscan.com/US/text/HB40/id/1065529,https://www.congress.gov/114/bills/hr40/BILLS-114hr40ih.pdf
668171,1065504,text,254854,application/pdf,Introduced,https://legiscan.com/US/text/HB41/id/1065504,https://www.congress.gov/114/bills/hr41/BILLS-114hr41ih.pdf
668333,1065484,text,254082,application/pdf,Introduced,https://legiscan.com/US/text/HB42/id/1065484,https://www.congress.gov/114/bills/hr42/BILLS-114hr42ih.pdf
668042,1065497,text,269514,application/pdf,Introduced,https://legiscan.com/US/text/HB43/id/1065497,https://www.congress.gov/114/bills/hr43/BILLS-114hr43ih.pdf
668201,1065495,text,267684,application/pdf,Introduced,https://legiscan.com/US/text/HB44/id/1065495,https://www.congress.gov/114/bills/hr44/BILLS-114hr44ih.pdf
668279,1065499,text,254738,application/pdf,Introduced,https://legiscan.com/US/text/HB45/id/1065499,https://www.congress.gov/114/bills/hr45/BILLS-114hr45ih.pdf
