bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1137283,782650,2019-01-15,House,"On motion to suspend the rules and pass the bill RC# 33",424,0,9,0,433
1137308,781696,2019-01-03,House,"On motion to table the motion to refer RC# 3",230,197,5,0,432
1137308,781697,2019-01-03,House,"On ordering the previous question RC# 4",233,197,2,0,432
1137308,781698,2019-01-03,House,"On motion to commit with instructions RC# 5",197,232,3,0,432
1137308,781699,2019-01-03,House,"On agreeing to the resolution RC# 6",234,194,4,0,432
1137309,783040,2019-01-16,House,"On motion to suspend the rules and pass the bill RC# 36",415,6,12,0,433
1137322,816488,2019-03-07,House,"On agreeing to the Cole amendment (A005) H.Amdt.58 RC# 110",199,235,3,0,437
1137322,816489,2019-03-07,House,"On agreeing to the Raskin amendment (A003) H.Amdt.56 RC# 109",219,215,3,0,437
1137322,816491,2019-03-07,House,"On agreeing to the Pressley amendment (A023) H.Amdt.76 RC# 111",126,305,6,0,437
1137322,816492,2019-03-07,House,"On agreeing to the Green (TN) amendment (A024) H.Amdt.77 RC# 112",200,233,4,0,437
1137322,816493,2019-03-07,House,"On agreeing to the Davidson (OH) amendment (A031) H.Amdt.84 RC# 113",194,238,5,0,437
1137322,816494,2019-03-07,House,"On agreeing to the Davidson (OH) amendment (A032) H.Amdt.85 RC# 114",195,237,5,0,437
1137322,817612,2019-03-08,House,"On motion to recommit with instructions RC# 117",197,228,7,0,432
1137322,817613,2019-03-08,House,"On agreeing to the Neguse amendment (A052) H.Amdt.105 RC# 116",239,186,12,0,437
1137322,817614,2019-03-08,House,"On agreeing to the Brindisi amendment (A042) H.Amdt.95 RC# 115",237,188,12,0,437
1137322,817615,2019-03-08,House,"On passage RC# 118",234,193,5,0,432
1137324,969505,2020-06-26,House,"On motion to recommit with instructions RC# 121",182,227,0,21,430
1137324,969506,2020-06-26,House,"On passage RC# 122",232,180,0,19,431
1137334,895168,2019-10-15,House,"On motion to suspend the rules and pass the bill RC# 557",408,0,24,0,432
1137347,781789,2019-01-08,Senate,"Cloture on the motion to proceed RC# 1",56,44,0,0,100
1137347,781790,2019-01-08,Senate,"Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 1) entered in Senate. RC# 1",56,44,0,0,100
1137347,781982,2019-01-10,Senate,"Second cloture on the motion to proceed RC# 2",53,43,4,0,100
1137347,782297,2019-01-14,Senate,"Third cloture on the motion to proceed RC# 3",50,43,7,0,100
1137347,782298,2019-01-14,Senate,"Motion by Senator McConnell to reconsider the vote by which the third cloture on the motion to proceed to S. 1 was not invoked (Record Vote No. 3) entered in Senate. RC# 3",50,43,7,0,100
