bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1020831,1655105,text,946871,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/1655105,https://www.congress.gov/115/bills/hr1/BILLS-115hr1ih.pdf
1020831,1657023,text,974654,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/1657023,https://www.congress.gov/115/bills/hr1/BILLS-115hr1rh.pdf
1020831,1659034,text,949169,application/pdf,Introduced,https://legiscan.com/US/text/HB1/id/1659034,https://www.congress.gov/115/bills/hr1/BILLS-115hr1pcs.pdf
1020831,1660111,text,857656,application/pdf,Amended,https://legiscan.com/US/text/HB1/id/1660111,https://www.congress.gov/115/bills/hr1/BILLS-115hr1eas.pdf
1020831,1664513,text,893133,application/pdf,Amended,https://legiscan.com/US/text/HB1/id/1664513,https://www.congress.gov/115/bills/hr1/BILLS-115hr1eas2.pdf
1020831,1657677,text,672546,application/pdf,Engrossed,https://legiscan.com/US/text/HB1/id/1657677,https://www.congress.gov/115/bills/hr1/BILLS-115hr1eh.pdf
1020831,1664759,text,502667,application/pdf,Enrolled,https://legiscan.com/US/text/HB1/id/1664759,https://www.congress.gov/115/bills/hr1/BILLS-115hr1enr.pdf
1020827,1780872,text,1275497,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1780872,https://www.congress.gov/115/bills/hr2/BILLS-115hr2ih.pdf
1020827,1791527,text,1298339,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1791527,https://www.congress.gov/115/bills/hr2/BILLS-115hr2rh.pdf
1020827,1810874,text,1378039,application/pdf,Introduced,https://legiscan.com/US/text/HB2/id/1810874,https://www.congress.gov/115/bills/hr2/BILLS-115hr2pcs.pdf
1020827,1812374,text,1922760,application/pdf,Amended,https://legiscan.com/US/text/HB2/id/1812374,https://www.congress.gov/115/bills/hr2/BILLS-115hr2eas.pdf
1020827,1810521,text,1235947,application/pdf,Engrossed,https://legiscan.com/US/text/HB2/id/1810521,https://www.congress.gov/115/bills/hr2/BILLS-115hr2eh.pdf
1020827,1830470,text,1319098,application/pdf,Enrolled,https://legiscan.com/US/text/HB2/id/1830470,https://www.congress.gov/115/bills/hr2/BILLS-115hr2enr.pdf
1020841,1793527,text,137086,application/pdf,Introduced,https://legiscan.com/US/text/HB3/id/1793527,https://www.congress.gov/115/bills/hr3/BILLS-115hr3ih.pdf
1020841,1806865,text,128297,application/pdf,Engrossed,https://legiscan.com/US/text/HB3/id/1806865,https://www.congress.gov/115/bills/hr3/BILLS-115hr3eh.pdf
1020837,1781653,text,823857,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/1781653,https://www.congress.gov/115/bills/hr4/BILLS-115hr4ih.pdf
1020837,1793523,text,1051988,application/pdf,Introduced,https://legiscan.com/US/text/HB4/id/1793523,https://www.congress.gov/115/bills/hr4/BILLS-115hr4pcs.pdf
1020837,1790627,text,943139,application/pdf,Engrossed,https://legiscan.com/US/text/HB4/id/1790627,https://www.congress.gov/115/bills/hr4/BILLS-115hr4eh.pdf
896635,1444910,text,370625,application/pdf,Introduced,https://legiscan.com/US/text/HB5/id/1444910,https://www.congress.gov/115/bills/hr5/BILLS-115hr5ih.pdf
896635,1458979,text,217343,application/pdf,Engrossed,https://legiscan.com/US/text/HB5/id/1458979,https://www.congress.gov/115/bills/hr5/BILLS-115hr5eh.pdf
1020821,1808507,text,397044,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/1808507,https://www.congress.gov/115/bills/hr6/BILLS-115hr6ih.pdf
1020821,1812057,text,914771,application/pdf,Introduced,https://legiscan.com/US/text/HB6/id/1812057,https://www.congress.gov/115/bills/hr6/BILLS-115hr6pcs.pdf
1020821,1820238,text,640612,application/pdf,Amended,https://legiscan.com/US/text/HB6/id/1820238,https://www.congress.gov/115/bills/hr6/BILLS-115hr6eas.pdf
1020821,1822028,text,1105753,application/pdf,Amended,https://legiscan.com/US/text/HB6/id/1822028,https://www.congress.gov/115/bills/hr6/BILLS-115hr6eah.pdf
1020821,1811240,text,796162,application/pdf,Engrossed,https://legiscan.com/US/text/HB6/id/1811240,https://www.congress.gov/115/bills/hr6/BILLS-115hr6eh.pdf
1020821,1822453,text,695120,application/pdf,Enrolled,https://legiscan.com/US/text/HB6/id/1822453,https://www.congress.gov/115/bills/hr6/BILLS-115hr6enr.pdf
913598,1460744,text,263189,application/pdf,Introduced,https://legiscan.com/US/text/HB7/id/1460744,https://www.congress.gov/115/bills/hr7/BILLS-115hr7ih.pdf
913598,1481610,text,128957,application/pdf,Engrossed,https://legiscan.com/US/text/HB7/id/1481610,https://www.congress.gov/115/bills/hr7/BILLS-115hr7eh.pdf
1020819,1797764,text,336968,application/pdf,Introduced,https://legiscan.com/US/text/HB8/id/1797764,https://www.congress.gov/115/bills/hr8/BILLS-115hr8ih.pdf
