bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
637854,1033818,text,187855,application/pdf,Engrossed,https://legiscan.com/US/text/HB4228/id/1033818,https://www.congress.gov/113/bills/hr4228/BILLS-113hr4228eh.pdf
637898,993129,text,275977,application/pdf,Introduced,https://legiscan.com/US/text/HB4229/id/993129,https://www.congress.gov/113/bills/hr4229/BILLS-113hr4229ih.pdf
637889,993668,text,249275,application/pdf,Introduced,https://legiscan.com/US/text/HB4230/id/993668,https://www.congress.gov/113/bills/hr4230/BILLS-113hr4230ih.pdf
637868,993455,text,227845,application/pdf,Introduced,https://legiscan.com/US/text/HB4231/id/993455,https://www.congress.gov/113/bills/hr4231/BILLS-113hr4231ih.pdf
637873,993615,text,247584,application/pdf,Introduced,https://legiscan.com/US/text/HB4232/id/993615,https://www.congress.gov/113/bills/hr4232/BILLS-113hr4232ih.pdf
637839,993578,text,248856,application/pdf,Introduced,https://legiscan.com/US/text/HB4233/id/993578,https://www.congress.gov/113/bills/hr4233/BILLS-113hr4233ih.pdf
637891,993142,text,254284,application/pdf,Introduced,https://legiscan.com/US/text/HB4234/id/993142,https://www.congress.gov/113/bills/hr4234/BILLS-113hr4234ih.pdf
637917,993606,text,248630,application/pdf,Introduced,https://legiscan.com/US/text/HB4235/id/993606,https://www.congress.gov/113/bills/hr4235/BILLS-113hr4235ih.pdf
637861,994385,text,253719,application/pdf,Introduced,https://legiscan.com/US/text/HB4236/id/994385,https://www.congress.gov/113/bills/hr4236/BILLS-113hr4236ih.pdf
637887,994433,text,252337,application/pdf,Introduced,https://legiscan.com/US/text/HB4237/id/994433,https://www.congress.gov/113/bills/hr4237/BILLS-113hr4237ih.pdf
637867,993162,text,264759,application/pdf,Introduced,https://legiscan.com/US/text/HB4238/id/993162,https://www.congress.gov/113/bills/hr4238/BILLS-113hr4238ih.pdf
637901,995304,text,311427,application/pdf,Introduced,https://legiscan.com/US/text/HB4239/id/995304,https://www.congress.gov/113/bills/hr4239/BILLS-113hr4239ih.pdf
637842,993095,text,257970,application/pdf,Introduced,https://legiscan.com/US/text/HB4240/id/993095,https://www.congress.gov/113/bills/hr4240/BILLS-113hr4240ih.pdf
637864,993119,text,251448,application/pdf,Introduced,https://legiscan.com/US/text/HB4241/id/993119,https://www.congress.gov/113/bills/hr4241/BILLS-113hr4241ih.pdf
637884,993127,text,250830,application/pdf,Introduced,https://legiscan.com/US/text/HB4242/id/993127,https://www.congress.gov/113/bills/hr4242/BILLS-113hr4242ih.pdf
637919,995309,text,251454,application/pdf,Introduced,https://legiscan.com/US/text/HB4243/id/995309,https://www.congress.gov/113/bills/hr4243/BILLS-113hr4243ih.pdf
637918,993117,text,251342,application/pdf,Introduced,https://legiscan.com/US/text/HB4244/id/993117,https://www.congress.gov/113/bills/hr4244/BILLS-113hr4244ih.pdf
637895,994377,text,339778,application/pdf,Introduced,https://legiscan.com/US/text/HB4245/id/994377,https://www.congress.gov/113/bills/hr4245/BILLS-113hr4245ih.pdf
637911,994460,text,252452,application/pdf,Introduced,https://legiscan.com/US/text/HB4246/id/994460,https://www.congress.gov/113/bills/hr4246/BILLS-113hr4246ih.pdf
637896,994418,text,249509,application/pdf,Introduced,https://legiscan.com/US/text/HB4247/id/994418,https://www.congress.gov/113/bills/hr4247/BILLS-113hr4247ih.pdf
637883,994746,text,248630,application/pdf,Introduced,https://legiscan.com/US/text/HB4248/id/994746,https://www.congress.gov/113/bills/hr4248/BILLS-113hr4248ih.pdf
637912,994521,text,264236,application/pdf,Introduced,https://legiscan.com/US/text/HB4249/id/994521,https://www.congress.gov/113/bills/hr4249/BILLS-113hr4249ih.pdf
637866,994661,text,283266,application/pdf,Introduced,https://legiscan.com/US/text/HB4250/id/994661,https://www.congress.gov/113/bills/hr4250/BILLS-113hr4250ih.pdf
637866,1040549,text,290015,application/pdf,Introduced,https://legiscan.com/US/text/HB4250/id/1040549,https://www.congress.gov/113/bills/hr4250/BILLS-113hr4250rh.pdf
637866,1040804,text,147196,application/pdf,Engrossed,https://legiscan.com/US/text/HB4250/id/1040804,https://www.congress.gov/113/bills/hr4250/BILLS-113hr4250eh.pdf
638169,994755,text,260228,application/pdf,Introduced,https://legiscan.com/US/text/HB4251/id/994755,https://www.congress.gov/113/bills/hr4251/BILLS-113hr4251ih.pdf
638177,994407,text,284717,application/pdf,Introduced,https://legiscan.com/US/text/HB4252/id/994407,https://www.congress.gov/113/bills/hr4252/BILLS-113hr4252ih.pdf
638163,994849,text,247986,application/pdf,Introduced,https://legiscan.com/US/text/HB4253/id/994849,https://www.congress.gov/113/bills/hr4253/BILLS-113hr4253ih.pdf
638163,1056926,text,231743,application/pdf,Introduced,https://legiscan.com/US/text/HB4253/id/1056926,https://www.congress.gov/113/bills/hr4253/BILLS-113hr4253rh.pdf
638167,994876,text,257454,application/pdf,Introduced,https://legiscan.com/US/text/HB4254/id/994876,https://www.congress.gov/113/bills/hr4254/BILLS-113hr4254ih.pdf
638166,995277,text,255657,application/pdf,Introduced,https://legiscan.com/US/text/HB4255/id/995277,https://www.congress.gov/113/bills/hr4255/BILLS-113hr4255ih.pdf
638185,995265,text,247936,application/pdf,Introduced,https://legiscan.com/US/text/HB4256/id/995265,https://www.congress.gov/113/bills/hr4256/BILLS-113hr4256ih.pdf
638191,994397,text,252675,application/pdf,Introduced,https://legiscan.com/US/text/HB4257/id/994397,https://www.congress.gov/113/bills/hr4257/BILLS-113hr4257ih.pdf
638182,994751,text,249418,application/pdf,Introduced,https://legiscan.com/US/text/HB4258/id/994751,https://www.congress.gov/113/bills/hr4258/BILLS-113hr4258ih.pdf
638168,994434,text,257051,application/pdf,Introduced,https://legiscan.com/US/text/HB4259/id/994434,https://www.congress.gov/113/bills/hr4259/BILLS-113hr4259ih.pdf
638178,995266,text,272918,application/pdf,Introduced,https://legiscan.com/US/text/HB4260/id/995266,https://www.congress.gov/113/bills/hr4260/BILLS-113hr4260ih.pdf
638188,995345,text,278293,application/pdf,Introduced,https://legiscan.com/US/text/HB4261/id/995345,https://www.congress.gov/113/bills/hr4261/BILLS-113hr4261ih.pdf
638188,1030245,text,139901,application/pdf,Engrossed,https://legiscan.com/US/text/HB4261/id/1030245,https://www.congress.gov/113/bills/hr4261/BILLS-113hr4261eh.pdf
